PassengerID,TrainName,Name,Gender,Age,Profession,Class,TicketPrice,TrainCar,SeatNumber,MaritalStatus,NumberOfChildren,CompanionCount,BaggageWeight,MealPreference,Station,ArrivalTime,DepartureTime,who,FamilySize
1,Shalimar Express,Ahmed Fahad Bhatti,Male,17,Student,Economy,6888,Coach-6,S-49,Single,1,2,32.02,Paratha Roll,Walton,6:32,6:34,Child,3
2,Shalimar Express,Bilal Jamal Jutt,Female,41,Student,AC Business,6888,Coach-2,S-67,Married,0,2,45.93,Biryani,Padidan,1:04,1:06,Female,3
3,Shalimar Express,Ahmed Fahad Sheikh,Male,22,Soldier,Economy,3588,Coach-16,S-47,Single,4,3,26.44,Biryani,Liaquatpur,18:16,18:18,Male,7
4,Shalimar Express,Hira Saeed Qureshi,Male,72,Soldier,AC Business,6888,Coach-2,S-59,Married,1,1,23.57,Karahi,Machhian Wala,13:15,13:17,Male,3
5,Shalimar Express,Ali Iqbal Siddiqui,Female,56,Soldier,Economy,6888,Coach-6,S-3,Married,3,3,38,Biryani,Raiwind Jn.,7:10,7:15,Female,7
6,Shalimar Express,Fatima Fahad Sheikh,Male,9,Student,Economy,6888,Coach-13,S-100,Married,4,0,19.24,Biryani,Shahdad Pur,3:27,3:29,Child,5
7,Shalimar Express,Ahmed Saeed Butt,Male,68,Student,Economy,3588,Coach-3,S-25,Married,4,0,32.38,Daal Chaawal,Khanpur Jn.,18:55,19:00,Male,5
8,Shalimar Express,Amir Rizwan Rana,Male,37,Teacher,AC Business,3588,Coach-5,S-5,Married,1,4,42.6,Biryani,Mahrabpur,0:11,0:13,Male,6
9,Shalimar Express,Ali Fahad Chaudhry,Male,9,Teacher,AC Business,6888,Coach-6,S-83,Single,0,4,13.84,Daal Chaawal,Pakpattan,11:20,11:35,Child,4
10,Shalimar Express,Fatima Fahad Chaudhry,Male,51,Artist,Economy,3588,Coach-2,S-61,Married,2,3,24.87,Daal Chaawal,Padidan,1:04,1:06,Male,6
11,Shalimar Express,Zain Rizwan Malik,Female,36,Businessperson,Economy,6888,Coach-20,S-34,Married,2,2,26.9,Paratha Roll,Mir Pur Mathelo,20:47,20:49,Female,5
12,Shalimar Express,Ayesha Jamal Qureshi,Male,40,Student,Economy,6888,Coach-5,S-85,Single,1,,36.62,Biryani,Walton,6:32,6:34,Male,2
13,Shalimar Express,Fatima Nawaz Jutt,Female,79,Police Officer,AC Business,6888,Coach-5,S-63,Single,0,3,15,Biryani,Landhi Jn.,7:10,7:12,Female,3
14,Shalimar Express,Sara Asghar Jutt,Male,76,Engineer,AC Business,6888,Coach-13,S-13,Married,0,,10.5,Nihari,Landhi Jn.,7:10,7:12,Male,1
15,Shalimar Express,Ali Iqbal Siddiqui,Male,15,Police Officer,AC Business,3588,Coach-10,S-79,Married,3,3,10.88,Biryani,Karachi Cantt,8:10,8:25,Child,7
16,Shalimar Express,Noor Iqbal Qureshi,Male,26,Soldier,AC Business,3588,Coach-2,S-54,Single,1,1,15.53,Biryani,Khudian,8:45,8:47,Male,2
17,Shalimar Express,Hira Hussain Butt,Female,28,Lawyer,Economy,6888,Coach-15,S-39,Single,4,0,40.22,Paratha Roll,Vihari,13:35,13:40,Female,4
18,Shalimar Express,Ahmed Iqbal Butt,Female,78,Businessperson,AC Business,6888,Coach-12,S-34,Married,3,,48.56,Karahi,Bahawalpur,16:20,16:25,Female,6
19,Shalimar Express,Ahmed Asghar Rana,Male,25,Artist,AC Business,3588,Coach-11,S-9,Single,2,4,31.21,Karahi,Rohri Jn.,22:35,23:00,Male,6
20,Shalimar Express,Ali Jamal Qureshi,Male,14,Engineer,AC Business,6888,Coach-16,S-11,Married,2,2,42.32,Biryani,Gagoo,12:38,12:40,Child,5
21,Shalimar Express,Ayesha Saeed Khan,Male,56,Doctor,Economy,6888,Coach-10,S-93,Single,0,0,27.22,Nihari,Liaquatpur,18:16,18:18,Male,0
22,Shalimar Express,Fatima Raza Butt,Female,11,Police Officer,Economy,6888,Coach-6,S-63,Single,2,,39.53,Daal Chaawal,Shahdad Pur,3:27,3:29,Child,3
23,Shalimar Express,Ayesha Nawaz Sheikh,Female,60,Teacher,Economy,6888,Coach-16,S-1,Married,0,1,19.74,Paratha Roll,Kanganpur,9:21,9:23,Female,2
24,Shalimar Express,Ali Murtaza Siddiqui,Female,20,Student,Economy,3588,Coach-3,S-31,Married,0,0,30.28,Biryani,Khudian,8:45,8:47,Female,1
25,Shalimar Express,Ahmed Fahad Chaudhry,Male,26,Businessperson,Economy,6888,Coach-13,S-40,Single,1,3,15.5,Paratha Roll,,18:55,19:00,Male,4
26,Shalimar Express,Noor Saeed Rana,Male,23,Artist,AC Business,6888,Coach-8,S-31,Married,1,1,47.44,Daal Chaawal,Karore Pakka,15:10,15:15,Male,3
27,Shalimar Express,Sara Murtaza Chaudhry,Female,14,Artist,AC Business,6888,Coach-1,S-26,Single,3,4,47.54,Nihari,Rohri Jn.,22:35,23:00,Child,7
28,Shalimar Express,Noor Murtaza Chaudhry,Male,70,Businessperson,AC Business,6888,Coach-4,S-61,Single,3,0,36.07,Daal Chaawal,Mandi Burewala,12:55,13:00,Male,3
29,Shalimar Express,Amir Raza Qureshi,Female,78,Police Officer,Economy,6888,Coach-19,S-1,Married,0,0,39.95,Paratha Roll,Jamrani Wah,15:37,15:39,Female,1
30,Shalimar Express,Hira Saeed Malik,Male,,Engineer,AC Business,3588,Coach-7,S-1,Single,2,0,21.02,Nihari,Karore Pakka,15:10,15:15,Male,2
31,Shalimar Express,Bilal Nawaz Jutt,Male,73,Businessperson,AC Business,6888,Coach-5,S-57,Single,4,2,18.26,Nihari,,14:03,14:05,Male,6
32,Shalimar Express,Ayesha Nawaz Jutt,Female,56,Student,AC Business,3588,Coach-4,S-26,Single,3,0,46.59,Daal Chaawal,Basirpur,10:03,10:05,Female,3
